Classification_Label,Life_expectancy
0,65.0
0,59.9
0,59.9
0,59.5
0,59.2
0,58.8
0,58.6
0,58.1
0,57.5
0,57.3
0,57.3
0,57.0
0,56.7
0,56.2
0,55.3
0,54.8
2,77.8
2,77.5
2,77.2
2,76.9
2,76.6
2,76.2
2,76.1
2,75.3
2,75.9
1,74.2
1,73.5
1,73.0
1,72.8
1,73.3
1,73.6
1,72.6
2,75.6
2,75.4
2,75.3
2,75.1
2,74.9
2,74.7
2,74.4
1,74.1
1,73.8
1,73.4
1,72.9
1,72.3
1,71.7
1,71.6
1,71.4
1,71.3
0,52.4
0,51.7
0,51.1
0,56.0
0,51.0
0,49.6
0,49.1
0,48.7
0,48.2
0,47.7
0,47.4
0,47.1
0,46.8
0,46.5
0,45.7
0,45.3
2,76.4
2,76.2
2,76.1
2,75.9
2,75.7
2,75.6
2,75.4
2,75.2
2,75.0
2,74.8
2,74.6
2,74.4
1,74.2
1,74.0
1,73.8
1,73.6
2,76.3
2,76.2
2,76.0
2,75.9
2,75.7
2,75.5
2,75.6
2,75.4
2,74.8
2,75.2
2,74.9
2,74.7
1,74.1
1,74.1
1,74.0
1,74.1
2,74.8
2,74.6
2,74.4
2,74.4
1,73.9
1,73.5
1,73.3
1,73.2
1,73.5
1,72.9
1,73.0
1,73.0
1,72.7
1,72.6
1,72.6
1,72.0
2,82.8
2,82.7
2,82.5
2,82.3
2,82.0
2,81.9
2,81.7
2,81.3
2,81.3
2,81.2
2,81.0
2,86.0
2,83.0
2,79.9
2,79.9
2,79.5
2,81.5
2,81.4
2,81.1
2,88.0
2,88.0
2,84.0
2,82.0
2,84.0
2,81.0
2,79.8
2,79.4
2,79.3
2,78.8
2,78.7
2,78.6
2,78.1
1,72.7
1,72.5
1,72.2
1,71.9
1,71.6
1,71.1
2,78.0
1,73.0
1,73.0
1,69.2
1,68.4
1,68.4
1,67.8
1,67.8
1,67.5
1,66.6
2,76.1
2,75.4
2,74.8
2,74.9
2,75.0
2,75.0
2,74.6
2,74.5
2,74.4
1,74.2
1,74.1
1,73.8
1,73.2
1,73.1
1,72.9
1,72.6
2,76.9
2,76.8
2,76.7
2,76.5
2,76.1
2,76.1
2,76.0
2,75.8
2,75.6
2,75.5
2,75.3
2,75.2
2,75.0
2,74.9
2,74.7
2,74.5
1,71.8
1,71.4
1,71.0
2,77.0
1,73.0
1,69.9
1,69.5
1,69.1
1,68.6
1,68.2
1,67.8
1,67.3
1,66.8
0,66.3
0,65.8
0,65.3
2,75.5
2,75.4
2,75.2
2,75.1
2,74.9
2,74.7
2,74.6
2,74.4
1,74.2
1,74.1
1,73.9
1,73.8
1,73.7
1,73.5
1,73.4
1,73.3
1,72.3
1,72.0
1,71.7
1,71.9
1,72.0
1,73.0
1,70.0
1,70.0
1,69.8
1,68.9
1,68.1
1,68.2
1,67.7
1,67.2
1,67.7
1,68.0
2,81.1
2,89.0
2,87.0
2,83.0
2,83.0
2,80.0
2,79.8
2,79.5
2,79.5
2,79.4
2,78.9
2,78.8
2,78.3
2,78.0
2,78.0
2,77.6
1,71.0
1,70.0
1,69.8
1,69.4
1,69.4
1,69.5
1,69.5
1,69.6
1,69.6
1,69.4
1,69.0
1,68.7
1,68.4
1,68.5
1,68.2
1,68.3
0,60.0
0,59.7
0,59.5
0,59.3
0,59.1
0,58.7
0,58.4
0,57.6
0,57.1
0,56.8
0,56.5
0,56.1
0,55.8
0,55.6
0,55.5
0,55.4
1,69.8
1,69.4
1,69.1
1,68.7
1,68.3
1,67.9
1,67.4
1,67.0
0,66.5
0,65.8
0,65.0
0,64.2
0,63.3
0,62.5
0,61.7
0,62.0
2,77.0
1,74.0
1,71.0
1,69.8
1,69.3
1,68.7
1,68.0
1,67.4
1,66.8
0,66.2
0,65.7
0,65.1
0,64.5
0,63.9
0,63.3
0,62.6
2,77.4
2,77.2
2,77.0
2,76.8
2,76.9
2,76.4
2,76.1
2,76.0
2,75.4
2,75.7
2,75.0
2,75.5
2,75.2
2,75.4
2,74.9
2,74.6
0,65.7
0,65.1
0,64.2
0,63.4
0,62.2
0,61.1
0,59.2
0,57.5
0,56.9
0,54.8
0,51.7
0,48.1
0,46.4
0,46.0
0,46.7
0,47.8
2,75.0
2,74.8
2,74.7
2,74.5
1,74.1
1,73.8
1,73.6
1,73.4
1,73.3
1,73.0
1,72.7
1,72.0
1,71.8
1,71.4
1,71.0
2,75.0
2,77.7
2,77.6
2,77.1
2,78.3
2,77.4
2,76.9
2,76.8
2,77.2
2,76.0
2,76.3
2,76.2
2,76.4
2,76.0
2,74.8
2,74.7
2,74.4
2,74.5
1,74.3
1,74.1
1,73.9
1,73.7
1,73.4
1,73.2
1,72.9
1,72.6
1,72.2
1,72.1
1,72.2
1,72.0
1,71.8
1,71.6
1,71.1
0,59.9
0,59.3
0,59.0
0,58.6
0,58.1
0,57.5
0,56.9
0,56.1
0,55.3
0,54.3
0,53.3
0,52.4
0,51.6
0,51.0
0,56.0
0,51.0
0,59.6
0,59.1
0,58.6
0,58.0
0,57.4
0,56.8
0,56.2
0,55.3
0,54.8
0,54.1
0,53.4
0,52.6
0,51.9
0,51.5
0,51.3
0,58.0
0,53.3
0,52.8
0,52.3
0,52.0
0,51.7
0,51.5
0,51.0
0,54.0
0,49.9
0,49.4
0,48.7
0,48.2
0,48.0
0,47.7
0,47.8
0,47.9
1,73.3
1,73.0
1,72.8
1,72.7
1,72.6
1,72.5
1,72.4
1,72.4
1,72.3
1,72.1
1,71.8
1,71.4
1,71.1
2,77.0
1,73.0
1,69.9
1,68.7
1,68.3
1,67.8
1,67.4
1,67.0
1,66.6
0,66.1
0,65.6
0,65.0
0,64.1
0,62.9
0,61.5
0,63.0
0,59.3
0,58.5
0,57.7
0,57.3
0,56.7
0,56.4
0,55.9
0,55.6
0,55.3
0,54.8
0,54.2
0,53.6
0,53.3
0,52.8
0,52.1
0,51.8
0,51.6
0,51.5
0,51.4
2,82.2
2,82.0
2,81.8
2,81.6
2,81.5
2,81.2
2,81.0
2,87.0
2,85.0
2,85.0
2,81.0
2,80.0
2,79.7
2,79.5
2,79.4
2,79.1
0,52.5
