KMeans_Cluster,GMM_Cluster,Classification_Label,Life_expectancy
0,1,0,65.0
0,1,0,59.9
0,1,0,59.9
0,1,0,59.5
0,1,0,59.2
0,1,0,58.8
0,1,0,58.6
0,1,0,58.1
0,1,0,57.5
0,1,0,57.3
0,1,0,57.3
0,1,0,57.0
0,1,0,56.7
0,1,0,56.2
0,1,0,55.3
0,1,0,54.8
1,0,2,77.8
1,0,2,77.5
1,0,2,77.2
1,0,2,76.9
1,0,2,76.6
1,0,2,76.2
1,0,2,76.1
1,0,2,75.3
1,0,2,75.9
1,0,1,74.2
1,0,1,73.5
1,0,1,73.0
1,0,1,72.8
1,0,1,73.3
1,0,1,73.6
1,2,1,72.6
1,2,2,75.6
1,2,2,75.4
1,2,2,75.3
1,2,2,75.1
1,2,2,74.9
1,2,2,74.7
1,0,2,74.4
1,0,1,74.1
0,0,1,73.8
0,2,1,73.4
0,2,1,72.9
1,2,1,72.3
0,1,1,71.7
0,2,1,71.6
0,2,1,71.4
0,0,1,71.3
0,1,0,52.4
0,1,0,51.7
0,1,0,51.1
0,1,0,56.0
0,1,0,51.0
0,1,0,49.6
0,1,0,49.1
0,1,0,48.7
0,1,0,48.2
0,1,0,47.7
0,1,0,47.4
0,1,0,47.1
0,1,0,46.8
0,1,0,46.5
0,1,0,45.7
0,1,0,45.3
1,0,2,76.4
1,0,2,76.2
1,0,2,76.1
1,0,2,75.9
1,2,2,75.7
1,2,2,75.6
1,0,2,75.4
1,0,2,75.2
1,0,2,75.0
1,0,2,74.8
0,0,2,74.6
0,0,2,74.4
0,0,1,74.2
0,0,1,74.0
0,0,1,73.8
0,0,1,73.6
1,2,2,76.3
1,2,2,76.2
1,2,2,76.0
1,0,2,75.9
1,2,2,75.7
1,2,2,75.5
1,0,2,75.6
1,0,2,75.4
1,0,2,74.8
1,0,2,75.2
1,2,2,74.9
1,2,2,74.7
1,0,1,74.1
1,0,1,74.1
1,0,1,74.0
1,0,1,74.1
1,0,2,74.8
1,0,2,74.6
1,0,2,74.4
1,0,2,74.4
1,0,1,73.9
1,0,1,73.5
1,0,1,73.3
1,0,1,73.2
1,0,1,73.5
1,0,1,72.9
1,1,1,73.0
1,2,1,73.0
1,0,1,72.7
1,0,1,72.6
1,0,1,72.6
1,0,1,72.0
1,2,2,82.8
1,2,2,82.7
1,2,2,82.5
1,2,2,82.3
1,2,2,82.0
1,2,2,81.9
1,2,2,81.7
1,2,2,81.3
1,2,2,81.3
1,2,2,81.2
1,2,2,81.0
1,2,2,86.0
1,2,2,83.0
1,2,2,79.9
1,2,2,79.9
1,2,2,79.5
1,2,2,81.5
1,2,2,81.4
1,2,2,81.1
1,2,2,88.0
1,2,2,88.0
1,2,2,84.0
1,2,2,82.0
1,2,2,84.0
1,2,2,81.0
1,2,2,79.8
1,2,2,79.4
1,2,2,79.3
1,2,2,78.8
1,2,2,78.7
1,2,2,78.6
1,2,2,78.1
1,0,1,72.7
1,0,1,72.5
1,0,1,72.2
1,0,1,71.9
1,0,1,71.6
1,0,1,71.1
1,0,2,78.0
1,0,1,73.0
1,0,1,73.0
0,0,1,69.2
1,2,1,68.4
0,2,1,68.4
0,2,1,67.8
0,1,1,67.8
0,2,1,67.5
1,0,1,66.6
1,0,2,76.1
1,0,2,75.4
1,0,2,74.8
1,0,2,74.9
1,0,2,75.0
1,0,2,75.0
1,0,2,74.6
1,0,2,74.5
1,0,2,74.4
1,0,1,74.2
1,0,1,74.1
1,0,1,73.8
1,0,1,73.2
1,0,1,73.1
1,0,1,72.9
1,0,1,72.6
1,2,2,76.9
1,2,2,76.8
1,0,2,76.7
1,2,2,76.5
1,0,2,76.1
1,0,2,76.1
1,2,2,76.0
1,0,2,75.8
1,0,2,75.6
1,0,2,75.5
1,2,2,75.3
1,2,2,75.2
1,2,2,75.0
1,0,2,74.9
1,0,2,74.7
1,2,2,74.5
0,1,1,71.8
0,1,1,71.4
0,1,1,71.0
0,1,2,77.0
0,1,1,73.0
0,1,1,69.9
0,1,1,69.5
0,1,1,69.1
0,1,1,68.6
0,1,1,68.2
0,1,1,67.8
0,1,1,67.3
0,1,1,66.8
0,1,0,66.3
0,1,0,65.8
0,1,0,65.3
1,2,2,75.5
1,0,2,75.4
1,0,2,75.2
1,0,2,75.1
1,0,2,74.9
1,0,2,74.7
1,0,2,74.6
1,0,2,74.4
1,2,1,74.2
1,0,1,74.1
1,0,1,73.9
1,0,1,73.8
1,0,1,73.7
1,0,1,73.5
1,0,1,73.4
1,0,1,73.3
1,0,1,72.3
1,0,1,72.0
1,0,1,71.7
1,0,1,71.9
1,0,1,72.0
1,0,1,73.0
1,0,1,70.0
1,0,1,70.0
1,0,1,69.8
1,0,1,68.9
1,0,1,68.1
1,0,1,68.2
0,0,1,67.7
1,0,1,67.2
1,0,1,67.7
1,0,1,68.0
1,2,2,81.1
1,2,2,89.0
1,2,2,87.0
1,2,2,83.0
1,2,2,83.0
1,2,2,80.0
1,2,2,79.8
1,2,2,79.5
1,2,2,79.5
1,2,2,79.4
1,2,2,78.9
1,2,2,78.8
1,2,2,78.3
1,2,2,78.0
1,2,2,78.0
1,2,2,77.6
1,0,1,71.0
1,0,1,70.0
1,0,1,69.8
1,0,1,69.4
1,0,1,69.4
1,0,1,69.5
1,0,1,69.5
1,0,1,69.6
1,0,1,69.6
1,0,1,69.4
1,0,1,69.0
1,0,1,68.7
1,0,1,68.4
1,0,1,68.5
1,0,1,68.2
0,0,1,68.3
0,1,0,60.0
0,1,0,59.7
0,1,0,59.5
0,1,0,59.3
0,1,0,59.1
0,1,0,58.7
0,1,0,58.4
0,1,0,57.6
0,1,0,57.1
0,1,0,56.8
0,1,0,56.5
0,1,0,56.1
0,1,0,55.8
0,1,0,55.6
0,1,0,55.5
0,1,0,55.4
0,0,1,69.8
0,0,1,69.4
0,0,1,69.1
0,0,1,68.7
0,0,1,68.3
0,0,1,67.9
0,0,1,67.4
0,0,1,67.0
0,0,1,66.5
0,0,0,65.8
0,0,0,65.0
0,0,0,64.2
0,0,0,63.3
0,0,0,62.5
0,1,0,61.7
0,0,0,62.0
1,0,2,77.0
1,0,1,74.0
1,0,1,71.0
1,0,1,69.8
1,0,1,69.3
1,0,1,68.7
1,0,1,68.0
1,0,1,67.4
1,0,1,66.8
1,0,0,66.2
1,0,0,65.7
1,0,0,65.1
1,0,0,64.5
1,0,0,63.9
1,0,0,63.3
1,0,0,62.6
1,2,2,77.4
1,2,2,77.2
1,0,2,77.0
1,0,2,76.8
1,0,2,76.9
1,0,2,76.4
0,0,2,76.1
1,0,2,76.0
1,0,2,75.4
1,0,2,75.7
0,0,2,75.0
0,0,2,75.5
0,0,2,75.2
0,0,2,75.4
0,0,2,74.9
0,0,2,74.6
1,0,0,65.7
1,0,0,65.1
0,0,0,64.2
1,0,0,63.4
0,0,0,62.2
0,1,0,61.1
0,1,0,59.2
0,1,0,57.5
0,1,0,56.9
0,1,0,54.8
0,1,0,51.7
0,1,0,48.1
0,1,0,46.4
0,1,0,46.0
0,1,0,46.7
0,1,0,47.8
1,1,2,75.0
1,1,2,74.8
1,1,2,74.7
1,1,2,74.5
1,1,1,74.1
1,1,1,73.8
1,1,1,73.6
1,1,1,73.4
1,1,1,73.3
1,1,1,73.0
1,1,1,72.7
1,1,1,72.0
1,1,1,71.8
1,1,1,71.4
1,1,1,71.0
1,1,2,75.0
1,0,2,77.7
1,0,2,77.6
1,2,2,77.1
1,2,2,78.3
1,0,2,77.4
1,2,2,76.9
1,2,2,76.8
1,2,2,77.2
1,2,2,76.0
1,0,2,76.3
1,0,2,76.2
1,2,2,76.4
